LON,LAT,EDO,CLAVE,ESTACION,01/07/18,,,,,
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",34.5,,,,,
-102.466944,22.188611,AGS,ANVAG,"Cincuenta Aniversario, Ags.",28.8,,,,,
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",108.0,,,,,
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",110.5,,,,,
-102,21.896389,AGS,CNSAG,"Los Conos, Ags.",64.4,,,,,
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",29.9,,,,,
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",55.7,,,,,
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",196.8,,,,,
-102.371667,21.78,AGS,NGRAG,"El Niagara, Ags.",98.2,,,,,
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",59.7,,,,,
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",27.4,,,,,
-102.291944,22.1625,AGS,PBLAG,"PabellÛn, Ags.",53.4,,,,,
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",70.5,,,,,
-102.133333,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",60.9,,,,,
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",22.4,,,,,
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0.0,,,,,
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0.0,,,,,
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.0,,,,,
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",3.9,,,,,
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0.0,,,,,
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0.5,,,,,
-115.931389,30.517222,BC,ENBBN,"San QuintÌn (Ejido Nuevo), B.C.",2.1,,,,,
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",17.5,,,,,
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",8.0,,,,,
-116.811111,32.101944,BC,LAMBN,"La MisiÛn, B.C.",0.0,,,,,
-114.729444,32.703889,BC,PDMBN,"Presa Derivadora Morelos, B.C.",2.6,,,,,
-114.85,31.033333,BC,SFLBN,"San Felipe, B.C.",6.9,,,,,
-111.658333,25.001389,BCS,CCNBS,"Ciudad ConstituciÛn, B.C.S.",0.6,,,,,
-109.9125,22.881944,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.0,,,,,
-113.420833,27.783333,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.1,,,,,
-114.05,27.966667,BCS,GNGBS,"Guerrero Negro, B.C.S.",0.0,,,,,
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",18.0,,,,,
-110.366667,24.15,BCS,LPZBS,"La Paz, B.C.S.",8.7,,,,,
-111.341667,26.016667,BCS,LRTBS,"Loreto, B.C.S.",3.8,,,,,
-112,26.866667,BCS,MLGBS,"Mulege, B.C.S.",1.0,,,,,
-109.983333,24.066667,BCS,PLNBS,"Los Planes, B.C.S.",1.7,,,,,
-109.55,23.583333,BCS,RBRBS,"La Ribera, B.C.S.",10.6,,,,,
-110.05,23.8,BCS,SANBS,"San Antonio, B.C.S.",19.5,,,,,
-109.983333,24.066667,BCS,SARBS,"El Sargento, B.C.S.",1.0,,,,,
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",5.0,,,,,
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",0.0,,,,,
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",52.0,,,,,
-109.716667,23.45,BCS,SNTBS,"Santiago, B.C.S.",4.2,,,,,
-110.216667,23.433333,BCS,TSNBS,"Todos Santos, B.C.S.",3.0,,,,,
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",45.2,,,,,
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",323.8,,,,,
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",181.5,,,,,
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",116.2,,,,,
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",165.0,,,,,
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",129.0,,,,,
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",216.0,,,,,
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",104.8,,,,,
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",270.7,,,,,
-90.105556,20.184167,CAMP,HECCA,"Hecelchakan, Camp.",197.9,,,,,
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",64.6,,,,,
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",187.8,,,,,
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",125.9,,,,,
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",152.0,,,,,
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",247.9,,,,,
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",31.7,,,,,
-102.585833,22.177222,CAMP,XPJCA,"Xpujil, Camp.",142.6,,,,,
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",174.5,,,,,
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",131.5,,,,,
-106.219444,27.446667,CHIH,BOCADELRIO,"Boca del RÌo, Chih. SMN*",56.3,,,,,
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",256.9,,,,,
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",124.5,,,,,
