LON,LAT,EDO,CLAVE,ESTACION,01/10/20,,
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",9.8,,
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",2,,
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",0.5,,
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",9.9,,
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",1.3,,
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",0,,
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",3.3,,
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",0,,
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",0,,
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",0.7,,
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",30.4,,
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",0,,
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",2.1,,
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",0,,
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",0,,
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",10,,
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",0,,
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",0,,
-102.608611,22.269722,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",10.2,,
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",15,,
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",3,,
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",0.7,,
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",1.1,,
-115.921667,32.042222,BC,CONST1857,"ConstituciÛn de 1857, B.C. SMN*",0.2,,
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",1.5,,
-116.584444,32.243056,BC,CSRBN,"Carmen Serd·n, B.C.",0,,
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",2,,
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",0,,
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",0,,
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",0,,
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",1.5,,
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",0,,
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0,,
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",0,,
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",0,,
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",6.2,,
-116.603333,31.891667,BC,PLOPEZZAMORA,"Presa Emilio LÛpez Zamora, B.C. SMN*",0,,
-114.828611,30.993056,BC,SANFELIPEmar,"San Felipe, B.C. SEMAR*",0,,
-114.834444,31.028056,BC,SFELIPEob,"Observatorio de San Felipe, B.C. SMN*",0,,
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",0,,
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",0,,
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0.6,,
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",4.2,,
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",24,,
-113.457222,27.6425,BCS,DIAZORDAZBN,"Gustavo DÌçaz Ordaz, B.C.S. SMN*",0.6,,
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",0.5,,
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",0,,
-110.316667,24.116667,BCS,LAPAZob,"Observatorio de La Paz, B.C.S. SMN*",3,,
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",4,,
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",3.8,,
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.1,,
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",0,,
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",5.8,,
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0,,
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",5.9,,
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",9.7,,
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.2,,
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",3,,
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",4,,
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",18,,
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",12.6,,
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",6.3,,
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa RosalÌa, B.C.S.",0,,
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",29,,
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",157.3,,
-90.5,19.833333,CAMP,CAMPECHEob,"Observatorio de Campeche, Camp. SMN*",198.8,,
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",311,,
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",557.7,,
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",357.2,,
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",255.5,,
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",176.5,,
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",284.4,,
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",252.5,,
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",228.2,,
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",453,,
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",147.5,,
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",241.2,,
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",485.7,,
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",920.7,,
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",392.9,,
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",198.1,,
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",86,,
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz·lez, Chih.",0,,
-107.255556,28.771667,CHIH,BACCH,"BachÌniva, Chih.",0,,
-108.206389,28.208889,CHIH,BSSCH,"Basaseachi, Chih.",0,,
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",0,,
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",0,,
-108.092778,29.216667,CHIH,C08219,"PeÒitas, Chih.",1,,
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",0,,
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",0,,
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",0.3,,
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÈmoc, Chih. SMN*",0,,
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",0,,
-108.535556,27.392222,CHIH,CHICH,"ChÌnipas, Chih. SMN*",0,,
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",0,,
-106.770556,26.229444,CHIH,CHNCH,"Chinat˙, Chih. SMN*",7.9,,
-106.167778,28.570556,CHIH,CHUCH,"Chihuahua, Chih.",0,,
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju·rez, Chih.",3,,
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÈtrica, Chih.",0,,
-105.382222,27.576389,CHIH,CLNCH,"Ing. Andrew Weiss, Chih.",0,,
-108.541667,27.416667,CHIH,CNDCH,"ChÌnipas, Chih.",0,,
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",0,,
-106.353889,26.949722,CHIH,CONCHOSob,"Observatorio de Conchos, Chih. SMN*",0,,
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",0,,
-105.5,28.17,CHIH,DELICIAS,"Ciudad Delicias, Chih. SMN*",0,,
-106.390278,26.473333,CHIH,ELVERGELSMN,"El Vergel, Chih. SMN*",0.4,,
-106.119444,28.614722,CHIH,ERECH,"El RejÛn, Chih.",0,,
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",0,,
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",0.4,,
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",0,,
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",0,,
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",0,,
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",1.8,,
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",0,,
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",0,,
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. LeÛn, Chih.",0,,
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",0,,
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",0,,
-105.254167,26.546389,CHIH,PAGCH,"Pico del ¡guila, Chih.",0,,
-104.74,29.5,CHIH,PEGUIS,"Peguis, Chih. SGT*",0,,
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",0,,
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",0,,
-107.973333,26.9425,CHIH,TBRSI,"San Francisco, Chih.",0,,
-107.85,28.95,CHIH,TMCCH,"Observatorio de TemÛsachic, Chih.",0,,
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",0,,
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",0,,
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",0,,
-105.773333,27.99,CHIH,VILLALBA,"Villalba, Chih. SGT*",0,,
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",0,,
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",82.8,,
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario DomÌnguez, Chis.",48.4,,
-92.300278,15.124722,CHIS,ARGOVIA,"Finca Argovia, Chis. SGT*",267.3,,
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",65.3,,
-93.15,16.641944,CHIS,BOQCP,"BoquerÛn, Chis.",41.6,,
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",439.3,,
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",40.1,,
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",85.4,,
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",356,,
-91.710278,16.383056,CHIS,CHAYABE,"Finca ChayabÈ, Chis. SGT*",285.5,,
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",58.6,,
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",95.2,,
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",81.5,,
