LON,LAT,EDO,CLAVE,ESTACION,01/07/21
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",195.73
-102.585833,22.177222,AGS,ALMAG,"Alamitos, Ags.",218.20
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",181.70
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",232.69
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",252.50
-102.197222,22.007222,AGS,CHOAG,"CaÒada Honda, Ags.",162.20
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",147.44
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",139.23
-102.296667,22.362778,AGS,CSOAG,"CosÌo, Ags.",151.44
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",188.10
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",249.21
-102.371667,21.78,AGS,NGRAG,"El Ni·gara, Ags.",187.13
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",92.50
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",196.94
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",154.50
-102.279167,22.147222,AGS,PBLAG,"PabellÛn, Ags.",107.50
-102.417222,22.141111,AGS,PECAG,"Plutarco ElÌas Calles, Ags.",207.02
-102.135,22.202778,AGS,PTOAG,"Puerto de la ConcepciÛn, Ags.",159.96
-102.4375,22.235,AGS,PTRAG,"Derivadora PabellÛn, Ags.",170.44
-102.608333,22.269444,AGS,SIERRAFRIA,"Sierra FrÌa, Ags. SMN*",230.80
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",196.00
-102.127778,21.807778,AGS,TNJAG,"La Tinaja 2, Ags.",151.00
-102.0675,22.097778,AGS,VJZAG,"Villa Ju·rez, Ags.",96.71
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",7.30
-114.730278,32.704722,BC,ALGODONESob,"Observatorio de Algodones, B.C. SMN*",39.20
-116.908333,32.444722,BC,ALRBN,"Abelardo L. RodrÌguez, B.C.",0.01
-114.719167,29.727222,BC,CATAVINA,"CataviÒa, B.C. SMN*",0.00
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",0.00
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",0.01
-116.6025,31.890278,BC,ELZBN,"Emilio LÛpez Zamora, B.C.",1.10
-115.931389,30.517222,BC,ENBBN,"San QuintÌn, B.C.",0.00
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo LeÛn, B.C.",1.20
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",0.00
-114.728056,32.705,BC,JMRBN,"InterconexiÛn JosÈ MarÌa Morelos y PavÛn, B.C.",36.51
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",0.03
-116.908333,32.4475,BC,PABELARLRDGZ2,"Abelardo L. RodrÌguez. 2, B.C. SMN*",0.00
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",36.51
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",0.00
-116.678333,32.543889,BC,PRTBN,"La Puerta, B.C.",0.01
-116.64,31.704444,BC,PTBBN,"Punta Banda, B.C.",2.00
-115.9375,30.531111,BC,SQNBN,"San QuintÌn, B.C. SMN*",0.00
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",0.60
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad ConstituciÛn, B.C.S.",4.81
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",0.01
-113.457778,27.643611,BCS,DORBS,"DÌaz Ordaz, B.C.S.",2.00
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",9.03
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",0.00
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",0.60
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",0.01
-111.983056,26.896111,BCS,MLGBS,"MulegÈ, B.C.S.",0.00
-111.829444,24.481111,BCS,PCORTESmar,"Puerto CortÈs, B.C.S. SEMAR*",0.00
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",0.01
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",0.01
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",47.42
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",0.20
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",0.00
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",36.00
-109.708333,23.118889,BCS,SJCBS,"San JosÈ del Cabo, B.C.S.",4.01
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",71.20
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",2.91
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa RosalÌa, B.C.S.",0.00
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",2.02
-89.743889,20.003889,CAMP,BOLCA,"Bolonchen, Camp.",190.90
-90.5,19.833333,CAMP,CAMPECHEob,"Observatorio de Campeche, Camp. SMN*",101.00
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",163.81
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",275.50
-91.765278,18.658056,CAMP,CDCCA,"Ciudad del Carmen, Camp. SMN*",19.80
-90.72,19.361667,CAMP,CHMCA,"ChampotÛn, Camp.",200.01
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",124.50
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",144.30
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",160.51
-90.741111,18.604444,CAMP,ESCCA,"Esc·rcega, Camp.",199.50
-90.105556,20.184167,CAMP,HECCA,"Hecelchak·n, Camp.",163.50
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",118.20
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",133.80
-90.221389,19.605833,CAMP,NYXCA,"Noh-YaxchÈ, Camp.",119.50
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",79.50
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",256.50
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",66.70
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",106.50
